marketName,DOWN,UP,UP_complete,DOWN_complete,hedge_status
"Bitcoin Up or Down - March 25, 9:15AM-9:20AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 9:20AM-9:25AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 9:25AM-9:30AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 9:30AM-9:35AM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 25, 9:35AM-9:40AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 9:40AM-9:45AM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 25, 9:45AM-9:50AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 9:45PM-9:50PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 25, 9:50AM-9:55AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 9:55AM-10:00AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 10:00PM-10:05PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 10:05PM-10:10PM ET",4.997114,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 10:10PM-10:15PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 10:15PM-10:20PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 26, 10:20PM-10:25PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 10:25PM-10:30PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 10:30PM-10:35PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 10:35PM-10:40PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 10:40PM-10:45PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 10:45PM-10:50PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 10:50PM-10:55PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 26, 10:55PM-11:00PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 26, 11:10PM-11:15PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 26, 11:15PM-11:20PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 11:20PM-11:25PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 11:25PM-11:30PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 26, 11:30PM-11:35PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 26, 11:35PM-11:40PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 26, 11:40PM-11:45PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 26, 11:45PM-11:50PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 26, 11:50AM-11:55AM ET",5.0,4.99096,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 11:50PM-11:55PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 26, 11:55AM-12:00PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 26, 11:55PM-12:00AM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 26, 12:00PM-12:05PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:05PM-12:10PM ET",5.0,4.993075,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:10PM-12:15PM ET",4.996152,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:15PM-12:20PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:20PM-12:25PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:25PM-12:30PM ET",4.995383,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:30AM-12:35AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:30PM-12:35PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:35AM-12:40AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:35PM-12:40PM ET",5.0,4.992306,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:40AM-12:45AM ET",5.0,4.996922,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:40PM-12:45PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:45AM-12:50AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:45PM-12:50PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:50AM-12:55AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:50PM-12:55PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:55AM-1:00AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 12:55PM-1:00PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:00AM-1:05AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:00PM-1:05PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:05AM-1:10AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:05PM-1:10PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:10AM-1:15AM ET",4.992306,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:10PM-1:15PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 26, 1:15AM-1:20AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:15PM-1:20PM ET",5.0,4.996922,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:20AM-1:25AM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 26, 1:20PM-1:25PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:25AM-1:30AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:25PM-1:30PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 26, 1:30PM-1:35PM ET",5.0,4.993075,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:35PM-1:40PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:40AM-1:45AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:40PM-1:45PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 26, 1:45AM-1:50AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:45PM-1:50PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:50AM-1:55AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:50PM-1:55PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:55AM-2:00AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 1:55PM-2:00PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 26, 2:00AM-2:05AM ET",4.993075,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:00PM-2:05PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 26, 2:05AM-2:10AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:05PM-2:10PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:10AM-2:15AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:10PM-2:15PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:15AM-2:20AM ET",4.993845,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:15PM-2:20PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:20AM-2:25AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:20PM-2:25PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:25AM-2:30AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:25PM-2:30PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:30AM-2:35AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:30PM-2:35PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:35AM-2:40AM ET",4.990766,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:35PM-2:40PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:40AM-2:45AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:40PM-2:45PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:45AM-2:50AM ET",4.993075,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:50AM-2:55AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:50PM-2:55PM ET",4.992306,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:55AM-3:00AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 2:55PM-3:00PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 3:00AM-3:05AM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 26, 3:00PM-3:05PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 26, 3:05AM-3:10AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 3:05PM-3:10PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 3:10AM-3:15AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 3:10PM-3:15PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 3:15AM-3:20AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 3:20AM-3:25AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 3:25AM-3:30AM ET",4.995383,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 26, 3:30AM-3:35AM ET",0.0,5.0,True,False,FAIL
